,LABEL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,RIGHT,-45.19,-79.4,-119.8,-141.74,-144.71,-121.08,-78.43,-49.96,-40.33,-32.49,-21.9,-11.37,-11.77,-27.27,-40.11,-37.53,-26.27,-16.59,-13.77,-16.67,-11.33,12.65,44.06,73.64,111.8,164.08,216.13,254.15,281.13,300.04,302.62,283.72,251.54,218.28,181.63,135.17,88.01,45.25,-6.6,-71.29,-128.39,-164.73,-188.85,-204.47,-205.88,-193.98,-173.38,-147.12,-117.9,-87.5
1,RIGHT,87.12,81.89,54.58,23.49,-1.19,-25.3,-50.79,-72.59,-90.0,-105.91,-118.11,-120.7,-110.72,-89.04,-60.94,-36.33,-17.17,9.65,46.98,76.98,93.71,114.4,145.57,171.83,184.58,192.37,200.22,202.05,194.48,181.51,165.05,144.41,122.27,102.25,84.22,67.4,52.26,39.3,28.39,18.23,6.84,-4.61,-12.0,-15.6,-21.27,-29.28,-34.34,-37.8,-44.83,-54.03
2,RIGHT,11.58,22.01,35.44,47.57,42.63,20.33,-0.73,-16.05,-35.91,-60.28,-81.54,-97.95,-108.53,-108.03,-94.49,-73.44,-50.1,-25.74,-0.73,23.77,48.47,76.58,106.97,133.88,157.03,181.02,205.38,225.34,237.57,242.09,241.42,237.66,231.38,222.59,212.22,201.48,187.84,168.12,145.03,122.79,101.0,79.36,62.31,52.41,46.37,39.35,29.15,17.9,10.76,10.38
3,RIGHT,21.59,29.02,33.96,37.37,42.92,46.42,33.89,4.52,-25.83,-49.64,-73.42,-97.62,-110.15,-104.8,-89.52,-70.8,-45.54,-9.53,32.29,69.44,96.57,117.58,139.61,164.1,183.05,190.57,195.02,206.1,216.84,214.48,200.73,185.26,166.56,138.09,106.2,82.27,68.14,60.13,54.61,49.04,44.39,42.42,41.17,38.71,36.0,33.7,32.05,31.29,29.16,23.02
4,RIGHT,38.68,40.2,40.98,34.48,19.21,3.31,-6.32,-15.74,-32.66,-53.38,-68.37,-71.46,-66.18,-57.51,-42.41,-18.42,7.81,29.77,49.02,67.9,85.58,102.7,122.05,142.84,162.91,182.79,201.24,215.35,225.22,230.79,229.25,220.42,207.82,195.03,183.3,171.39,156.83,139.52,122.23,106.67,90.67,71.88,53.26,40.56,32.53,22.35,8.84,-2.13,-8.34,-14.79
5,RIGHT,20.44,10.24,-8.39,-25.56,-33.29,-38.75,-48.23,-55.86,-55.97,-49.89,-36.13,-14.0,8.6,27.01,47.41,71.61,89.86,98.72,108.82,127.18,148.12,164.44,172.77,174.28,177.33,187.22,196.73,198.0,193.1,186.5,178.3,167.38,153.29,137.45,122.67,110.47,98.34,83.39,66.01,50.72,39.81,29.72,17.67,6.59,-1.22,-8.58,-18.76,-29.95,-37.08,-41.19
6,RIGHT,-165.51,-145.91,-101.85,-41.11,15.96,53.63,73.8,88.51,104.57,115.78,115.56,111.24,111.55,111.22,103.01,94.72,95.24,96.7,89.4,78.62,71.69,66.35,70.43,103.34,155.95,193.93,208.83,210.76,193.06,148.94,88.98,28.2,-21.58,-56.55,-81.55,-98.26,-103.66,-102.15,-101.82,-101.89,-98.47,-95.01,-93.24,-87.01,-75.14,-64.28,-59.46,-59.65,-56.98,-47.85
7,RIGHT,10.08,15.83,21.12,14.66,-24.17,-85.63,-135.13,-155.93,-152.2,-123.32,-70.17,-12.53,29.93,57.98,80.43,99.53,111.61,115.63,114.46,110.96,105.87,99.19,92.89,93.87,114.03,155.19,197.44,217.85,209.08,172.12,114.95,59.53,23.77,2.59,-16.76,-33.54,-40.35,-39.0,-38.35,-43.05,-48.69,-47.95,-42.11,-39.6,-44.85,-53.29,-56.83,-52.21,-42.96,-32.64
8,RIGHT,-165.63,-157.69,-128.22,-76.4,-16.78,31.41,63.32,87.26,106.95,117.81,118.51,115.82,114.61,113.39,109.7,101.99,90.59,81.32,79.62,80.32,74.88,66.19,65.12,83.31,126.66,177.7,208.03,210.87,195.14,163.06,112.7,53.02,-0.36,-40.04,-67.75,-85.3,-94.6,-96.63,-93.07,-89.38,-88.59,-87.55,-84.38,-79.67,-71.49,-60.96,-53.41,-50.43,-51.39,-55.14
9,RIGHT,-34.33,-37.27,-37.86,-34.5,-26.12,-13.42,-6.49,-8.7,-7.45,2.9,-46.16,-81.46,-113.84,-142.82,-157.15,-147.49,-107.03,-41.68,23.9,70.66,102.47,130.0,153.83,169.79,180.68,192.08,201.23,202.0,195.44,186.32,176.81,168.0,160.29,152.46,143.3,133.35,123.12,113.66,106.11,100.07,93.93,85.9,74.9,61.91,50.33,43.17,39.63,33.71,22.67,12.71
